,question
30187,Start a webinar on a topic of your choice
30188,Invite some friends over for a game night
30189,Have a jam session with your friends
30190,Go to an escape room
30191,Text a friend you haven't talked to in a long time
30192,Memorize a favorite quote or poem
30193,Memorize a favorite quote or poem
30194,Watch a classic movie
30195,Clean out your garage
30196,Draw and color a Mandala
30197,Go to the library and find an interesting book
30198,Explore the nightlife of your city
30199,Donate blood at a local blood center
30200,Listen to your favorite album
30201,Go on a long drive with no music
30202,Patronize a local independent restaurant
30203,Write a list of things you are grateful for
30204,Learn woodworking
30205,Sit in the dark and listen to your favorite music with no distractions
30206,Go to a concert with some friends
30207,Shop at support your local farmers market
30208,Prepare a dish from a foreign culture
30209,Repaint a room in your house
30210,Paint the first thing you see
30211,Plan a vacation you've always wanted to take
30212,Do a jigsaw puzzle
30213,Clean out your car
30214,Learn to greet someone in a new language
30215,Learn how to whistle with your fingers
30216,Go to a music festival with some friends
30217,Surprise your significant other with something considerate
30218,Paint the first thing you see
30219,Draft your living will
30220,Conquer one of your fears
30221,Learn the periodic table
30222,Plan a trip to another country
30223,Bake something you've never tried before
30224,Watch a Khan Academy lecture on a subject of your choosing
30225,Make a scrapbook with pictures of your favorite memories
30226,Patronize a local independent restaurant
30227,Bake a pie with some friends
30228,Fix something that's broken in your house
30229,Draw and color a Mandala
30230,Start a collection
30231,Try a food you don't like
30232,Create a compost pile
30233,Catch up with a friend over a lunch date
30234,Pick up litter around your favorite park
30235,Have a paper airplane contest with some friends
30236,Learn the NATO phonetic alphabet
30237,Watch the sunset or the sunrise
30238,Write a poem
30239,Clean out your car
30240,Write a short story
30241,Take your dog on a walk
30242,Create a personal website
30243,Pot some plants and put them around your house
30244,Start a blog for something you're passionate about
30245,Learn about the Golden Ratio
30246,Watch a classic movie
30247,Make bread from scratch
30248,Learn how to make a website
30249,Go to a music festival with some friends
30250,Read a formal research paper on an interesting subject
30251,Write a list of things you are grateful for
30252,Back up important computer files
30253,Take a hike at a local park
30254,Surprise your significant other with something considerate
30255,Donate blood at a local blood center
30256,Binge watch a trending series
30257,Write a short story
30258,Take your dog on a walk
30259,Make a to-do list for your week
30260,Mow your lawn
30261,Visit your past teachers
30262,Organize your dresser
30263,Contribute code or a monetary donation to an open-source software project
30264,Color
30265,Surprise your significant other with something considerate
30266,Shred old documents you don't need anymore
30267,Go see a movie in theaters with a few friends
30268,Read a formal research paper on an interesting subject
30269,Start a book you've never gotten around to reading
30270,Uninstall unused apps from your devices
30271,Give your pet ten minutes of focused attention
30272,Catch up on world news
30273,Learn Javascript
30274,Organize your movie collection
30275,Learn to greet someone in a new language
30276,Give your pet ten minutes of focused attention
30277,Organize a cluttered drawer
30278,Write a song
30279,Rearrange and organize your room
30280,Go to an escape room
30281,Read a formal research paper on an interesting subject
30282,Learn the Chinese erhu
30283,Pull a harmless prank on one of your friends
30284,Think of a new business idea
30285,Take a bubble bath
30286,Learn origami
30287,Learn about a distributed version control system such as Git
30288,Organize your movie collection
30289,Take your dog on a walk
30290,Configure two-factor authentication on your accounts
30291,Learn about a distributed version control system such as Git
30292,Draw something interesting
30293,Learn the NATO phonetic alphabet
30294,Conquer one of your fears
30295,Plan a vacation you've always wanted to take
30296,Take your dog on a walk
30297,Go to a music festival with some friends
30298,Have a picnic with some friends
30299,Clean out your refrigerator
30300,Invite some friends over for a game night
30301,Clean out your car
30302,Organize your music collection
30303,Cook something together with someone
30304,Take your cat on a walk
30305,Shop at support your local farmers market
30306,Conquer one of your fears
30307,Write a thank you letter to an influential person in your life
30308,Draw something interesting
30309,Meditate for five minutes
30310,Learn woodworking
30311,Learn origami
30312,Learn how to french braid hair
30313,Take a caffeine nap
30314,Create a compost pile
30315,Research a topic you're interested in
30316,Resolve a problem you've been putting off
30317,Visit your past teachers
30318,Surprise your significant other with something considerate
30319,Catch up on world news
30320,Learn the periodic table
30321,Learn to greet someone in a new language
30322,Take a class at your local community center that interests you
30323,Fix something that's broken in your house
30324,Learn Kotlin
30325,Do yoga
30326,Clean out your refrigerator
30327,Cook something together with someone
30328,Create a meal plan for the coming week
30329,Learn about a distributed version control system such as Git
30330,Sit in the dark and listen to your favorite music with no distractions
30331,Research a topic you're interested in
30332,Buy a new house decoration
30333,Have a bonfire with your close friends
30334,Donate blood at a local blood center
30335,Go see a Broadway production
30336,Learn Javascript
30337,Catch up on world news
30338,Make a couch fort
30339,Play a game of tennis with a friend
30340,Learn to greet someone in a new language
30341,Configure two-factor authentication on your accounts
30342,Explore a park you have never been to before
30343,Host a movie marathon with some friends
30344,Start a band
30345,Organize your basement
30346,Visit your past teachers
30347,Study a foreign language
30348,Go on a long drive with no music
30349,Learn about the Golden Ratio
30350,Find a DIY to do
30351,Configure two-factor authentication on your accounts
30352,Go to an escape room
30353,Create and follow a savings plan
30354,Make a new friend
30355,Do something nice for someone you care about
30356,Go for a walk
30357,Invite some friends over for a game night
30358,Catch up on world news
30359,Learn how to beatbox
30360,Practice coding in your favorite lanaguage
30361,Make a to-do list for your week
30362,Sit in the dark and listen to your favorite music with no distractions
30363,Learn a new recipe
30364,Learn the periodic table
30365,Make a new friend
30366,Take a nap
30367,Start a band
30368,Go swimming with a friend
30369,Create and follow a savings plan
30370,Watch a Khan Academy lecture on a subject of your choosing
30371,Play a game of Monopoly
30372,Go stargazing
30373,Donate blood at a local blood center
30374,Make a budget
30375,Go on a long drive with no music
30376,Learn a new programming language
30377,Clean out your closet and donate the clothes you've outgrown
30378,Go to a concert with local artists with some friends
30379,Take a spontaneous road trip with some friends
30380,Host a movie marathon with some friends
